,商品名,ショップ名,レビュー本文,星評価
93,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,サイズ感もちょうどよかったです‼︎ 裏起毛で暖かいので今から重宝しそう。 リピ買いあり。,5
94,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,メンズを買ったので女性の私にとってもはかなり大きかった,4
95,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,旦那がすごく喜んでた。 暖かく、生地もしっかり丈夫。,5
96,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,暖かい。洗い替えも含めて何枚か持ってても損は無い品だと思う。,5
97,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,生地がしっかりしていてデザインも飽きがこないので重宝します！,5
98,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,迅速な対応、商品も、良いものでした。,5
99,チャンピオン トレーナー メンズ レディース CHAMPION POWERBREND スウェット 無地 大きいサイズ USAモデル 裏起毛 アメカジ ストリート スポーツ,Champion,娘のクリスマスプレゼントに購入しました。 生地も良い感じで良い買い物が出来ました。 また利用したいと思ってます。,5
100,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,サイズも大きくずごくよかったです！ また機会ありましたら買いたいと思ってます！ ありがとうございます！,4
101,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,スタッフ様の対応の良さに心より感謝申し上げます。次回も気に入った商品がございましたらリピートさせて頂きます。,5
102,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,思っていたよりも大きいサイズとなるのでサイズ感は確認した方が良いかもしれません。発送などの対応は非常に良いショップさんです。,5
103,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,サイズ感や着心地もとても良いです。生地も厚めで確りしていて仕事着としてはとても良い品質だと思う。他の色も欲しくなりました。,5
104,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,ディッキーズのシャツは好きでよく買います。丈夫で長持ちします。今回は白色の長袖をかいました。来てみるとアメリカサイズとの事で少し大きめですが大丈夫！自分が大きく鳴れば良い事に気づきご飯をいっぱい食べる事にしましたから(笑)お勧めですよディッキーズ！,5
105,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,アメリカンサイズなのでいつもよりワンサイズ小さめでもちょうど良いサイズでした。,5
106,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,サイズも着心地も、いい感じで気に入ってます,5
107,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,Dickesのタプルニーとセットで購入しました。今まで上下同色で着てましたが、freshboxさんの着こなし例見て、あー上下別色も良いなぁ～と思い購入しました。程良く柔らかく着心地最高です。またリピします。,5
108,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,Dickiesの上下別色が中々気に入って買い足しです。着心地も良いし何より安い！！またリピします。,5
109,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,買いました。仕事で着てみて、良かったら再度購入するかもです。,5
110,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,小さめでタイトに。大きめでゆったりと。サイズを変えることで、着かたのバリエーションも帰られる便利シャツ。,5
111,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,ディッキーズのワークシャツは、使い勝手もよく長持ちするので愛用させていただいてます。今回も色違いで2着購入しました。,5
112,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,とても使いやすいアイテムです。 仕様変更なくこのまま販売してほしいです。,5
113,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,リピーターです。値段も安くいつも通り間違いない商品でとてもいいです。,5
114,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,普段着ているシャツのサイズは同じディッキーズのワークシャツ（半袖）XLで少しゆったり目で丁度いい感じ、仕事では2XLの大き目を着ております。今回購入した長袖は4XLで、かなり大き目、袖も長くダボダボですが袖をまくり着ております。,5
115,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,連絡が遅くなりましてすみませんでした。お陰様で商品が無事に到着いたしました。最高の商品です。このたびはとても迅速でご丁寧な対応をして頂き安心して気持ちの良い取引きをさせて頂きました。又、ご縁がありましたらぜひ宜しくお願い致します。ありがとうございました。,5
116,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,選び方が悪かった、大きすぎました。２XLでも良かったと思いました。,3
117,[ビッグサイズ] ディッキーズ ワークシャツ 長袖 574 作業着 メンズ USAモデル Dickies 長袖シャツ ブランド 定番 作業服 アメカジ カジュアル ストリート,Dickies,かなり大きいかった,3
118,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,サイズ、生地等満足しております。 迅速な対応、発送いただきありがとうございました。また機会があれば再購入しようと思います。,5
119,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,大変気に入りました 又機会があればよろしくお願いします,5
120,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,安定のきやすさです。息子たちに一枚ずつあげました。インナーでも一枚でも着れます。ロゴがかわいいです。,5
121,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,二枚組で安かったので購入。 安い割には生地もしっかりしてるので満足です。,5
122,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,商品が届きました。とても丁寧な対応を頂き、安心且つとても気持ちの良いお取り引きをさせて頂けました。梱包も非常に丁寧です。ありがとうございました。また、機会がありましたら宜しくお願いします,5
123,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,下着の代わりに購入しました。 少し生地が硬く感じました。 この時期のインナーの下にきるのには問題ないと思います。,4
124,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,想定どおりの商品でした。また購入したいと思います。よろしくお願いします。ありがとうございました。。。,3
125,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,今回三色目の購入です。 値段、サイズ、生地の厚さなど個人的に最高ですので何枚か買いだめしてます。 冬はインナーでSサイズ、夏はMサイズを着ています。 ワンポイントのロゴも腰辺りでいいですね。 Tシャツは、ほとんどこれを着ています。 大変おすすめです。,5
126,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,生地の厚さもちょうど良く、２枚組なので頻繁に着用しています。 今度は違う色をまた買い足そうかと思います。,5
127,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,何度目のリピートか忘れましたが、サイズ感と質感がちょうど良くて気に入っています。もう少し安いと嬉しいです。,5
128,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,シンプルなデザインで着心地も良く重宝しています。今回はブラックを購入したのでつぎはネイビーを購入しようと思います。,5
129,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,2枚いりですが、１枚袖の糸がほつれてました。 生地もそんなに、厚くなく少し残念に思いました。 ニューエラなので、大丈夫かなと思いましたが、ただ残念です。,5
130,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,シンプルで肌着のような感じでは無いので重宝しています。デニムでも綿パンでもなんでもいけるので気楽に着れます。,5
131,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,安くて２枚セットのため購入しました。着心地は期待していませんでしたが予想通りで、ニューエラのプリントロゴが入っているだけです。サイズは丈が少し長めです。,5
132,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,少し大きめとのレビューだったのでワンランク下を購入したが、肩が窮屈でした。縫製もなんかイマイチな感じします。,3
133,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,大変気に入りました 又機会があればよろしくお願いします,5
134,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,購入時から一部糸のほつれがありました。 他のニューエラのTシャツと比べると肌触りも良くなく、非常によれやすそう生地でした。 従来のニューエラのTシャツを無地にしたもの、というイメージで購入する場合はおすすめ出来ません。,1
135,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,ニューエラのtシャツが欲しくてこの商品にたどり着きました。 肉厚があって品質的にはかなり良いと思います。 とってもカッコいいです。,5
136,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,お気に入りのブランドなのと、ショップ様からもお礼のお手紙が入っていたので同じ商品でも心使いがあるショップだと思います。次回購入の際もこちらのショップで購入したいと思います。,5
137,ニューエラ Tシャツ 2枚組 パック セット 無地 メンズ レディース 半袖 NEWERA 2-Pack Tee ワンポイント 夏 ブランド おしゃれ ストリート系 カジュアル,newera,材質、色合、着心地、どれもイメージとおりで大変良かったです。 リピートしたいと思っています。 カラーバリエーションがあると、なお良いのになぁって思います。,5
138,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,使用頻度にもよりますが、1シーズンだけの使用であれば問題ありません。丁寧に使い、洗濯も気にすれば、間違いなく２，３シーズンは使えます。,4
139,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,セール+20%OFFで半額以下でした。 柄違いで白と黒を数枚購入しました。 黒は透けませんが、白は若干透けるので、人によっては気になるかもしれません。 低価だったら購入を考えるかもしれませんが、今回は半額以下でしたし、良い買い物ができたと思います。,5
140,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,今回紫色を購入しましたがよかったです。着心地もよくまた別のデザインを購入したいです。,5
141,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,プリントマークと黒に一目ぼれしました。 バイクを乗るので、これを着てワイルドに風を感じています。 欲を言うと、もう少し厚めの生地を望んでいます。,5
142,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,デザインがかっこよかったので購入。ジーパンにTシャツでもかっこよく着こなせますね！,5
143,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,デザインに惚れました。サイズもバッチリで購入して良かったです！,5
144,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,この値段でもっといいもの買えると思ったが、ちょっと期待外れ。,3
145,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,迅速な対応ありがとうございました！ 少し生地が薄いかな…？,5
146,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,大変、気にいってます。バックプリントがいいですね。,5
147,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,いい素材のシャツを購入できました。また購入します。,5
148,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,サイズもデザインも大変満足いく商品でした。,5
149,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,クールなデザインのTシャツです。,5
150,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,生地が丈夫そうで良かったです,5
151,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,サイズ等完璧です！！！,5
152,ロンT メンズ Tシャツ GERRY ジェリー ロゴT ロゴプリント 長袖Tシャツ ビッグシルエット バックプリント ワンポイント アウトドア ストリート アメカジ 古着MIX,GERRY,とても気に入りました。,5
153,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,黒地に蛍光色のピンクが、とても映えてはカッコ良いです。生地も、しっかりしていて、着心地もとても良いです。,5
154,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,サイズ的にはXLとXXLの二種類買いましたが、どちらも首回りが狭い、若干苦しく感じる時がありました。 首回りはそんな太ってはいない方ですが、他で売ってる3Lとかと比較すると首にぴったり、大体拳一つが喉周りから入る位でゆったりっていう感じではないです。 値段が安かったので試しに買ってみましたが、個人的にはもう少し首回りがゆったりしてれば星5でした。 他ウエスト、丈は全然問題なかったので良かったと思います。,5
155,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,デザインが気に入ったので、購入させて頂きました。 安価だったので期待してなかったんですよ。 生地的な事に関しては、ですが商品が届き開封して見て、ビックリです。思いの外良かったんですよね。 体型的にも、私には凄く合ってました。,5
156,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,裁縫やデザインはよかったです。生地もいいとおもいます。ただプリントがすぐにはがれそうな感じがしました。その為－1で☆4です。他のデザインも気になるのでこのシリーズ？！を買おうと思います。,4
157,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,商品も思ったより早くつきました。早速着てバイクに乗りましたが天候も悪く少し寒い感じでしたが 着た感じは非常に良かったです。周りに同じものを着ている人がいないのがいいですね。,4
158,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,違うデザインのTシャツを購入して、生地の厚み、裁縫、デザインがとても良かったので、リピ‼︎ 蛍光グリーンが写真通りの色味で良かったです！ もっと他のデザインの物も買いたいです,5
159,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,デザインはカッコイイです。 白は肌色が見えるくらい透けます。 インナーが必要です。 サイズ感は少し小さめかと思います。普段XLですが、XXLを頼んで良かったです。,3
160,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,注文した時は、きっと生地は薄いんだろうなと思っていましたが届いて見てみたら生地がしっかりしていてビックリしました。 デザインも良くかなり気に入ってます,5
161,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,以前 息子に同じ物を購入したが 成長してサイズが小さくなってしまったので また購入しました。何回洗っても よれないし 良い品です。,5
162,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,先ず胸と背中のデザインが凄く良かったです。サイズ感も良かったです。首回りがしっかりしていて良かったです。,5
163,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,生地は着心地が良く、柄もシンプルなので派手さは感じません。 妻とお揃いで購入し、満足しています。,5
164,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,届いて見てみました。 生地、デザイン（グリーン）もきにいりましたし、サイズ感もよかったです。,5
165,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,生地等は悪い所が無く、デザインは思った通りで良かったです。サイズも丁度良かったです。,5
166,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,デザイン、着心地共に満足してます。 買って良かったです。 また購入したいと思います。,5
167,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,首回りが、少し気になるくらいで、サイズは、ぴったりで、とてもよかったです！,5
168,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,素早い対応に凄く満足です。 又、機会があれば是非よろしくお願します。,5
169,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,ちょうどよいサイズで、生地感も好きな感じでよかったです。,5
170,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,色やデザイン・生地・サイズ感、すべてに満足しています。,5
171,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,ありがとうございました。気にいって着用してます。,5
172,Tシャツ メンズ ブランド 大きいサイズ とかげ バックプリント 半袖 かっこいい おしゃれ ストリート アメカジ カジュアル 黒 白 ダンス ロゴ,Maqua-store,柄も案外シンプルで、嫁も気に入ってくれました。,5
173,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,注文してから手元に届くまでスピーディーでとても満足です。生地も丈夫で肌触りも良くいつも愛用してます。ありがとうございました。,5
174,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,プレゼントでMサイズを。 小学3年生(我が家の下の子)にSサイズを以前 購入しましたが、かなりダボッとしてます。 それが気に入ってるらしい。 今回はお揃いで、友達へあげる為に購入。 体格のいい子(小学4年生)なので、うちの子のサイズより1つ大きくしました。,4
175,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,色違いで３枚購入しました。 生地の透け感はありませんが、やや薄目なのでヘビロテする方には ワンシーズンでくたびれそう感があります。 ただ、インナーとしては良いと思います！胸ポケもありますし、コスパ的には良いほうだと思いますよ。,5
176,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,約170cm、約65kgでLと迷ったが、Mを購入。ビッグシルエットらしく程よくゆったり感。着丈は通常のLぐらいあるかな。大きめが好みの人は、LかXLの方が良さそう。７オンスぐらいのビッグシルエットがあれば、星5です。,5
177,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,172cm、65キロでXLを購入したした。オーバーサイズで着るので丁度良いサイズ感でした。ユニクロのXLよりワンサイズ大きいサイズ感です。作りも良く大変満足してます。白を買いましたが、色違いも購入しようと思います。,5
178,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,値段の割には厚めでいい生地だと思います。M sizeで作りは少し大きめですがコーディネートしやすい。まだまだ暑いので短パンに合わせるんですが、自分ではいい感じの着こなしが出来ている。気がする、,4
179,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,価格以上の満足いく物でした。生地の厚みもしっかりしていて、何度洗っても生地がへたる事もありません。 無地の白を購入しましたが形も良くシンプルだけど一枚でサマになります。これは買ってよかったです,5
180,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,標準体型ですがお腹ポッコリなので、ビッグシルエットのMサイズを全色購入しました。体型はカバー出来るものの身丈が若干短かったかも。でも、生地はしっかりしてて透け感も無く良かったかな。,4
181,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,まだ着ていないのでなんとも言えないです。 着ていこうと思った日に届かず着て行けませんでした。対応が悪いとはいいませんが他のショップよりも発送までが長かったです。,4
182,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,当方172㎝、75㎏、多少ガッチリしていますが、Mサイズでバッチリでした。 シルエットも生地も非常に良いので、リピート決定です！！,5
183,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,着心地めちゃくちゃ良いです！サイズ感もすごく気に入ってます！やや大きめサイズなので オーバーサイズ的に着る方がいいと思います。,5
184,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,非常に着心地がいいです。 特に洗濯後の着心地がとてもいいです。 今回は白を購入しましたが、他の色も試そうと思っています。,5
185,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,愛用している同メーカーの4411と比較するとかなり生地が薄く透け感もあるため、アメリカンTシャツという感じはしない。,2
186,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,以前よりこちらの無地T着用していまして今回は色違いの購入です。 夏に向けて新しいカラーも取り入れ梅雨明けが楽しみ。,5
187,tシャツ メンズ 無地 United Athle ユナイテッドアスレ 5.6オンス ビッグシルエットT ポケット付 5008-01 男女兼用 おしゃれ アメカジ ストリート ヒップホップ,United Athle,サイズ表をみて購入したのですがかなりオーバーサイズです。 交換もしてもらえず、返品の返金です。 なんか買いずらい,1
